study_id,center_row,center_col
ID_0065c9c281,264,258
ID_f2fda0a6c8,260,235
ID_56929405ae,276,241
ID_4bbcccc53d,278,260
ID_913de5c9bf,236,250
ID_7d74ffe8f5,295,238
ID_2d7ea7b923,275,250
ID_cf5fcee651,266,245
ID_f95521dc34,282,257
ID_8045cc444b,273,241
ID_17027675b4,262,292
ID_c745b0e17b,272,263
ID_65ca584620,261,238
ID_5018839c01,276,268
ID_4e43a9a036,262,236
ID_133bf7ae17,264,249
ID_00453976dc,283,255
ID_734cae17a6,242,228
ID_c42a71d9dc,265,262
ID_dcd7fdeb66,272,249
ID_aa3176e2a2,285,253
ID_350694eca8,258,261
ID_bf6fbe077a,276,242
ID_0a75aafa41,290,262
ID_d4592ef13a,283,280
ID_eca4bf46ac,300,261
ID_4b05012dba,272,261
ID_fbc0f3c546,275,253
ID_40b2e8ab93,249,213
ID_2d451d4906,269,235
ID_6e4dd75d4a,260,261
ID_58a6a8e47b,272,252
ID_6139295811,231,241
ID_008975a08a,274,261
ID_9194c5f978,277,287
ID_59dd58e28c,280,293
ID_bdedc047fc,283,245
ID_c71fe69adc,282,267
ID_6ff0cefd79,263,233
ID_febe9c3531,271,267
ID_e367d83c00,279,250
ID_2a952d7120,284,239
ID_f3777390e5,253,235
ID_2c831d8056,253,221
ID_acac5313ab,280,261
ID_e15e0a17eb,263,281
ID_9761fdfd75,268,258
ID_5abf493b34,263,233
ID_6b840d26dc,288,246
ID_496f30287a,296,256
ID_8502a2a5a0,264,263
ID_47d087d9c2,287,239
ID_1ad3d613a2,262,258
ID_701bb60502,266,247
ID_e8f0649449,266,237
ID_5467fbc73e,274,248
ID_b6c888ef46,271,272
ID_1ff98511d9,268,272
ID_e0fb240502,292,251
ID_ef1cad8090,302,257
ID_f5df269a6d,269,256
ID_bec9ead70a,277,266
ID_3caa30e4a0,280,251
ID_1624310a1d,272,261
ID_a441923dee,282,250
ID_6ed5b452d5,268,238
ID_d76a511f5e,277,264
ID_abc93fd2da,269,268
ID_64d1f35631,250,254
ID_e92e95879a,278,262
ID_e43e4f0a63,268,260
ID_7e4bf918e7,277,241
ID_e624a6a31c,298,248
ID_e3895435a5,269,244
ID_dd78b13db4,262,274
ID_2c57818907,264,235
ID_495470ada4,270,248
ID_27d3dc7ea2,249,244
ID_741d8b174c,258,262
ID_4fc733a529,290,236
ID_b2aef80b57,261,251
ID_af14c4f8d1,265,230
ID_c71295c689,264,283
ID_492f1876f5,279,263
ID_954b81be54,263,239
ID_fb3945c1c6,238,240
ID_ee8daa3358,271,201
ID_b18237b012,267,252
ID_7aef695fbd,280,247
ID_346cd4361d,287,254
ID_996449840c,288,250
ID_0afd5ae16b,223,197
ID_1be5787a12,281,243
ID_5c3d29b32f,285,245
ID_f540997f15,271,296
ID_1d2710ff01,266,238
ID_98af013596,262,235
ID_cbe7f6246d,269,260
ID_4c781c7645,255,248
ID_35de86cf25,269,267
ID_2bb111bc38,268,216
ID_435a1bd0ed,266,244
ID_64c8702b58,238,270
ID_0be1a9298a,258,259
ID_bcf6c5cb62,278,260
ID_0c1fa5c4cb,295,270
ID_b3ef3b9769,298,287
ID_94211ae352,277,265
ID_c26074a98c,261,268
ID_efd1c91ee1,265,260
ID_1d04a8aab6,264,256
ID_73e8d13c39,259,178
ID_a577d6f27a,293,249
ID_11ae1b08b8,310,268
ID_12e4e92d9e,271,262
ID_240b7de367,246,257
ID_92b4ddd3a9,271,225
ID_209e5f2156,300,266
ID_45bb7a96e1,309,246
ID_2bb81cd517,265,271
ID_2cce5d584c,252,262
ID_1b0aa57c71,244,241
ID_f16163fbca,257,271
ID_a1eb0918d6,254,251
ID_7ab8be99a2,297,256
ID_04d07d07c3,256,263
ID_78ffdf28d4,260,236
ID_6563c0ea3b,250,275
ID_dfe42a6817,277,263
ID_d7601b25c5,269,245
ID_1b4156b6a4,269,245
ID_73eceee347,255,261
ID_34c8ca80f3,263,249
ID_4b053d5b1d,277,253
ID_cd121802ec,286,242
ID_f483b0254d,278,262
ID_db4ae189e0,274,243
ID_59b8b0e9ee,262,252
ID_eee71a2c46,277,255
ID_3bcf606d7c,264,256
ID_0877599732,273,258
ID_b11b00adfe,247,247
ID_806f592f2f,259,252
ID_96c5b07723,252,206
ID_2146aef273,272,250
ID_a3133b4df5,267,240
ID_8f19beb85d,247,255
ID_e2a3401339,261,268
ID_64815306bd,285,250
ID_96948862f5,298,235
ID_d326057831,255,256
ID_ab292c4b8a,255,250
ID_dcb408c3cc,275,234
ID_f53034683e,274,247
ID_9d39546d5f,301,264
ID_20e75e3fa2,278,271
ID_fddff2e9c1,254,254
ID_ec168d0296,258,246
ID_a04b5bb744,269,255
ID_4cc3969972,266,256
ID_fdde522502,262,247
ID_934551b9b7,269,247
ID_ef028011b7,256,247
ID_d4a245b8de,244,261
